model,corruption_type,train_fraction,test_fraction,class_name,precision,recall,fpr,fnr
resnet18,gibbs_ringing,0.1,0.0,notumor,0.9111617312072893,1.0,0.0325,0.0
resnet18,gibbs_ringing,0.1,0.0,pituitary,0.9875930521091811,0.995,0.004166666666666667,0.005
resnet18,gibbs_ringing,0.1,0.1,glioma,0.9937888198757764,0.8,0.0016666666666666668,0.2
resnet18,gibbs_ringing,0.1,0.1,meningioma,0.8967889908256881,0.9775,0.0375,0.0225
resnet18,gibbs_ringing,0.1,0.1,notumor,0.9111617312072893,1.0,0.0325,0.0
resnet18,gibbs_ringing,0.1,0.1,pituitary,0.9875930521091811,0.995,0.004166666666666667,0.005
resnet18,gibbs_ringing,0.1,0.25,glioma,0.9937888198757764,0.8,0.0016666666666666668,0.2
resnet18,gibbs_ringing,0.1,0.25,meningioma,0.8967889908256881,0.9775,0.0375,0.0225
resnet18,gibbs_ringing,0.1,0.25,notumor,0.9111617312072893,1.0,0.0325,0.0
resnet18,gibbs_ringing,0.1,0.25,pituitary,0.9875930521091811,0.995,0.004166666666666667,0.005
resnet18,gibbs_ringing,0.1,0.5,glioma,0.9938080495356038,0.8025,0.0016666666666666668,0.1975
resnet18,gibbs_ringing,0.1,0.5,meningioma,0.8988505747126436,0.9775,0.03666666666666667,0.0225
resnet18,gibbs_ringing,0.1,0.5,notumor,0.9111617312072893,1.0,0.0325,0.0
resnet18,gibbs_ringing,0.1,0.5,pituitary,0.9875930521091811,0.995,0.004166666666666667,0.005
resnet18,gibbs_ringing,0.1,0.75,glioma,0.9938080495356038,0.8025,0.0016666666666666668,0.1975
resnet18,gibbs_ringing,0.1,0.75,meningioma,0.8988505747126436,0.9775,0.03666666666666667,0.0225
resnet18,gibbs_ringing,0.1,0.75,notumor,0.9111617312072893,1.0,0.0325,0.0
resnet18,gibbs_ringing,0.1,0.75,pituitary,0.9875930521091811,0.995,0.004166666666666667,0.005
resnet18,gibbs_ringing,0.1,1.0,glioma,0.9938080495356038,0.8025,0.0016666666666666668,0.1975
resnet18,gibbs_ringing,0.1,1.0,meningioma,0.8988505747126436,0.9775,0.03666666666666667,0.0225
resnet18,gibbs_ringing,0.1,1.0,notumor,0.9111617312072893,1.0,0.0325,0.0
resnet18,gibbs_ringing,0.1,1.0,pituitary,0.9875930521091811,0.995,0.004166666666666667,0.005
resnet18,gibbs_ringing,0.25,0.0,glioma,0.9939577039274925,0.8225,0.0016666666666666668,0.1775
resnet18,gibbs_ringing,0.25,0.0,meningioma,0.8988505747126436,0.9775,0.03666666666666667,0.0225
resnet18,gibbs_ringing,0.25,0.0,notumor,0.9345794392523364,1.0,0.023333333333333334,0.0
resnet18,gibbs_ringing,0.25,0.0,pituitary,0.9852216748768473,1.0,0.005,0.0
